Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,directory,class,synonyms
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/home/mgama1/Pictures/Screenshots/Screenshot from 2024-03-21 00-14-15.png,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,/home/mgama1/Pictures/Screenshots/Screenshot from 2024-03-20 23-59-16.png,q_document,"q_docs , q_text "
2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,/home/mgama1/Pictures/Screenshots/f.png,,
3.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,/home/mgama1/Pictures/Wallpapers/boeing-fa-18e-super-hornet-american-carrier-based-bomber-united-states-navy-taking-off-from-aircraft-carrier-deck-f-18.jpg,q_plane,"q_airplane ,q_aeroplane , q_aircraft"
4.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,/media/mgama1/7A0E08CC0E08837D/photos/201062700872_status_7d897688bed8457d9923f38f206c62ce.jpg,,
5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,/media/mgama1/7A0E08CC0E08837D/photos/wallpaperflare.com_wallpaper.jpg,,
6.0,6.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,8.0,/media/mgama1/7A0E08CC0E08837D/photos/20220928_043424.jpg,,
7.0,7.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,9.0,/media/mgama1/7A0E08CC0E08837D/photos/hvn8ha1lq4x91.jpg,,
8.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,/media/mgama1/7A0E08CC0E08837D/photos/vybq5mzp0oxa1.jpg,,
9.0,9.0,9.0,9.0,10.0,11.0,11.0,11.0,11.0,11.0,/media/mgama1/7A0E08CC0E08837D/photos/2ffe89_8565f38d839b4ef49c1d7dfeb8dbe565_mv2.jpg,,
10.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,/media/mgama1/7A0E08CC0E08837D/photos/cgtu9ln.jpg,,
11.0,11.0,11.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0,/media/mgama1/7A0E08CC0E08837D/photos/8bsl7p8so4g51.jpg,q_motorcycle,q_bike 
12.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,14.0,15.0,/media/mgama1/7A0E08CC0E08837D/photos/aasw5xf9zopa1.jpg,q_helicopter,q_chopper 
13.0,13.0,13.0,13.0,14.0,15.0,15.0,15.0,15.0,16.0,/media/mgama1/7A0E08CC0E08837D/photos/ma2kpw9k5k8b1.jpg,q_mountain,q_nature 
14.0,14.0,14.0,14.0,15.0,16.0,16.0,16.0,16.0,17.0,/media/mgama1/7A0E08CC0E08837D/photos/20230704_102231~2.jpg,,
15.0,15.0,15.0,15.0,16.0,17.0,17.0,17.0,17.0,18.0,/media/mgama1/7A0E08CC0E08837D/photos/20230704_110241.jpg,,
16.0,16.0,16.0,16.0,17.0,18.0,18.0,18.0,18.0,19.0,/media/mgama1/7A0E08CC0E08837D/photos/20230704_111625.jpg,,
17.0,17.0,17.0,17.0,18.0,19.0,19.0,19.0,19.0,20.0,/media/mgama1/7A0E08CC0E08837D/photos/20230704_111628.jpg,,
18.0,18.0,18.0,18.0,19.0,20.0,20.0,20.0,20.0,21.0,/media/mgama1/7A0E08CC0E08837D/photos/20230704_111630.jpg,,
19.0,19.0,19.0,19.0,20.0,21.0,21.0,21.0,21.0,22.0,/media/mgama1/7A0E08CC0E08837D/photos/20230704_111636.jpg,,
20.0,20.0,20.0,20.0,21.0,22.0,22.0,22.0,22.0,23.0,/media/mgama1/7A0E08CC0E08837D/photos/IMG_20230704_170639_230~2.jpg,q_street, 
21.0,21.0,21.0,21.0,22.0,23.0,23.0,23.0,23.0,24.0,/media/mgama1/7A0E08CC0E08837D/photos/lv0onozth5db1.jpg,,
22.0,22.0,22.0,22.0,23.0,24.0,24.0,24.0,24.0,25.0,/home/mgama1/Pictures/Snapinsta.app_271185333_419126019906202_4386580482886831192_n_1080.jpg,q_plane,"q_airplane ,q_aeroplane , q_aircraft"
23.0,23.0,23.0,23.0,24.0,25.0,25.0,25.0,25.0,26.0,/home/mgama1/Pictures/20230822_215326.jpg,q_cat,"q_kitty ,q_kitten "
24.0,24.0,24.0,24.0,25.0,26.0,26.0,26.0,26.0,27.0,/home/mgama1/Pictures/photo_2023-11-01_12-39-09.jpg,q_id,"q_identity card,q_id card "
25.0,25.0,25.0,25.0,26.0,27.0,27.0,27.0,27.0,28.0,/home/mgama1/Pictures/RDT_20231126_0550512361257613311172659.jpg,q_forest,q_tree 
26.0,26.0,26.0,26.0,27.0,28.0,28.0,28.0,28.0,29.0,/home/mgama1/Pictures/RDT_20231126_0558161579225427277319747.jpg,q_sea,"q_beach ,q_water "
27.0,27.0,27.0,27.0,28.0,29.0,29.0,29.0,29.0,30.0,/home/mgama1/Pictures/RDT_20231126_0559426217879386070465128.jpg,q_street, 
28.0,28.0,28.0,29.0,30.0,31.0,31.0,31.0,31.0,32.0,/media/mgama1/7A0E08CC0E08837D/photos/mig29-War-Thunder-iraqi-air-force-jet-fighter-2233486.jpg,q_helicopter,q_chopper 
29.0,29.0,29.0,30.0,31.0,32.0,32.0,32.0,32.0,33.0,/media/mgama1/7A0E08CC0E08837D/photos/fighter-jet-f-15-strike-eagle-fighter-aircraft-jet-fighter-76964.jpeg,q_plane,"q_airplane ,q_aeroplane , q_aircraft"
30.0,30.0,30.0,31.0,32.0,33.0,34.0,34.0,34.0,35.0,/home/mgama1/Pictures/Wallpapers/2ffe89_8565f38d839b4ef49c1d7dfeb8dbe565_mv2.jpg,,
31.0,31.0,31.0,32.0,33.0,34.0,35.0,35.0,35.0,,/media/mgama1/7A0E08CC0E08837D/photos/ldchjh6w6vl41.jpg,q_motorcycle,q_bike 
32.0,32.0,32.0,33.0,34.0,35.0,36.0,36.0,37.0,,/home/mgama1/Pictures/Screenshots/Screenshot from 2024-03-23 14-22-06.png,,
33.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,,/home/mgama1/Pictures/Screenshots/Screenshot from 2024-03-22 23-10-02.png,,
34.0,34.0,35.0,,,,,,,,/home/mgama1/Pictures/Francois-Louis-Joseph_Watteau_001.jpg,q_mountain,q_nature 
35.0,36.0,37.0,,,,,,,,/home/mgama1/Pictures/Wallpapers/wallpaperflare.com_wallpaper.jpg,,
36.0,37.0,38.0,,,,,,,,/home/mgama1/Pictures/Screenshots/Screenshot from 2024-03-20 12-05-10.png,q_document,"q_docs , q_text "
37.0,38.0,39.0,,,,,,,,/home/mgama1/Pictures/Wallpapers/f.png,,
38.0,39.0,40.0,,,,,,,,/media/mgama1/7A0E08CC0E08837D/photos/boeing-fa-18e-super-hornet-american-carrier-based-bomber-united-states-navy-taking-off-from-aircraft-carrier-deck-f-18.jpg,q_plane,"q_airplane ,q_aeroplane , q_aircraft"
39.0,,,,,,,,,,/home/mgama1/Pictures/Screenshots/Screenshot from 2024-03-23 22-27-05.png,,
40.0,,,,,,,,,,/home/mgama1/Pictures/photo_2024-02-24_06-03-12.jpg,,
42.0,,,,,,,,,,/home/mgama1/Pictures/ad88a59.jpg,q_mountain,q_nature 
43.0,,,,,,,,,,/home/mgama1/Pictures/photo_2024-02-24_06-03-12_2024-03-24-003518.jpg,,
,,,,,,,,,,/home/mgama1/Pictures/pngtree-gold-number-1-png-image_5330864.jpg,q_bus,q_autobus
,,,,,,,,,,/home/mgama1/Pictures/444Untitled.png,,
,,,,,,,,,,/home/mgama1/Pictures/8c2d3f9f-626b-46ca-a3a2-254bfae11285.png,,
,,,,,,,,,,/home/mgama1/Pictures/c78f1c18-8879-494c-b97d-a86ce543baf7.png,,
,,,,,,,,,,/home/mgama1/Pictures/pngtree-number-6-with-coloring-png-image_6211467.jpg,q_building,"q_house , q_home , q_apartment"
,,,,,,,,,,/home/mgama1/Pictures/number-5-icon-circle-illustration-on-isolated-white-background-number-five-icon-free-vector.jpg,q_bicycle,q_bike
,,,,,,,,,,/home/mgama1/Pictures/1Untitled.png,,
,,,,,,,,,,/home/mgama1/Pictures/Untitled.png,,
,,,,,,,,,,/home/mgama1/Pictures/png-transparent-number-parity-building-2-miscellaneous-angle-building.png,,
,,,,,,,,,,/home/mgama1/Pictures/photo_2024-02-29_19-26-57.jpg,,
,,,,,,,,,,/home/mgama1/Pictures/istockphoto-520661503-612x612.jpg,,
