         2717892 function calls (2667351 primitive calls) in 12.839 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000   12.857    6.428 /home/mgama1/anaconda3/lib/python3.11/site-packages/IPython/core/interactiveshell.py:3517(run_code)
   2980/2    0.137    0.000   12.857    6.428 {built-in method builtins.exec}
        1    0.000    0.000   12.857   12.857 /tmp/ipykernel_4891/840600852.py:1(<module>)
        1    0.000    0.000   12.857   12.857 /tmp/ipykernel_4891/840600852.py:5(profile_import)
   3151/1    0.080    0.000   12.857   12.857 <frozen importlib._bootstrap>:1165(_find_and_load)
   3146/1    0.072    0.000   12.856   12.856 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
   8217/3    0.022    0.000   12.856    4.285 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   2168/1    0.027    0.000   12.856   12.856 {built-in method builtins.__import__}
   3081/3    0.061    0.000   12.854    4.285 <frozen importlib._bootstrap>:666(_load_unlocked)
   2898/3    0.031    0.000   12.854    4.285 <frozen importlib._bootstrap_external>:934(exec_module)
        1    0.002    0.002   12.826   12.826 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/__init__.py:1(<module>)
11753/174    0.055    0.000   12.720    0.073 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    7.630    7.630 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/_api/v2/__internal__/__init__.py:1(<module>)
        1    0.000    0.000    3.340    3.340 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/_api/v2/__internal__/distribute/__init__.py:1(<module>)
        1    0.000    0.000    3.334    3.334 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/_api/v2/__internal__/distribute/combinations/__init__.py:1(<module>)
        1    0.000    0.000    3.256    3.256 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/distribute/combinations.py:1(<module>)
        1    0.000    0.000    2.887    2.887 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/distribute/collective_all_reduce_strategy.py:1(<module>)
        1    0.000    0.000    2.759    2.759 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/_api/v2/__internal__/autograph/__init__.py:1(<module>)
    19/11    0.000    0.000    2.738    0.249 /home/mgama1/anaconda3/lib/python3.11/importlib/__init__.py:108(import_module)
    23/11    0.000    0.000    2.737    0.249 <frozen importlib._bootstrap>:1192(_gcd_import)
        1    0.000    0.000    2.589    2.589 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/distribute/cross_device_ops.py:1(<module>)
        1    0.000    0.000    2.453    2.453 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/distribute/cross_device_utils.py:1(<module>)
        1    0.000    0.000    2.419    2.419 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/distribute/values.py:1(<module>)
        1    0.000    0.000    2.397    2.397 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/__init__.py:1(<module>)
        1    0.000    0.000    2.395    2.395 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/api/__init__.py:1(<module>)
        1    0.000    0.000    2.303    2.303 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/api/activations/__init__.py:1(<module>)
        1    0.000    0.000    2.302    2.302 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/src/__init__.py:1(<module>)
        1    0.001    0.001    2.297    2.297 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/distribute/distribute_lib.py:1(<module>)
        1    0.000    0.000    2.291    2.291 /home/mgama1/anaconda3/lib/python3.11/site-packages/keras/src/activations/__init__.py:1(<module>)
        1    0.000    0.000    2.241    2.241 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/data/__init__.py:1(<module>)
        1    0.001    0.001    2.239    2.239 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/data/experimental/__init__.py:1(<module>)
        1    0.000    0.000    2.188    2.188 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/autograph/core/ag_ctx.py:1(<module>)
        1    0.000    0.000    2.181    2.181 /home/mgama1/anaconda3/lib/python3.11/site-packages/tensorflow/python/autograph/utils/__init__.py:1(<module>)
